Name,Link,Artifact Number
"
",https://www.historymuseum.ca/collections/artifact/1358248/?q=Ottawa&page_num=1&item_num=83&media_irn=1092752,1358248
"
",https://www.historymuseum.ca/collections/artifact/1318875/?q=Ottawa&page_num=1&item_num=84&media_irn=3003078,1318875
"
",https://www.historymuseum.ca/collections/artifact/1318874/?q=Ottawa&page_num=1&item_num=85&media_irn=3003076,1318874
"
",https://www.historymuseum.ca/collections/artifact/1318872/?q=Ottawa&page_num=1&item_num=86&media_irn=3003070,1318872
"
",https://www.historymuseum.ca/collections/artifact/1318871/?q=Ottawa&page_num=1&item_num=87&media_irn=3003068,1318871
"
",https://www.historymuseum.ca/collections/artifact/1318870/?q=Ottawa&page_num=1&item_num=88&media_irn=3003066,1318870
"
",https://www.historymuseum.ca/collections/artifact/1318869/?q=Ottawa&page_num=1&item_num=89&media_irn=3003064,1318869
"
",https://www.historymuseum.ca/collections/artifact/1316386/?q=Ottawa&page_num=1&item_num=90&media_irn=3001505,1316386
"
",https://www.historymuseum.ca/collections/artifact/1315529/?q=Ottawa&page_num=1&item_num=91&media_irn=1177077,1315529
"
",https://www.historymuseum.ca/collections/artifact/1304505/?q=Ottawa&page_num=1&item_num=92&media_irn=3000899,1304505
"
",https://www.historymuseum.ca/collections/artifact/3051965/?q=Ottawa&page_num=1&item_num=93&media_irn=5730172,3051965
"
",https://www.historymuseum.ca/collections/artifact/3044768/?q=Ottawa&page_num=1&item_num=94&media_irn=5716787,3044768
"
",https://www.historymuseum.ca/collections/artifact/2250988/?q=Ottawa&page_num=1&item_num=95&media_irn=5356007,2250988
"
",https://www.historymuseum.ca/collections/artifact/2508769/?q=Ottawa&page_num=1&item_num=96&media_irn=5513008,2508769
"
",https://www.historymuseum.ca/collections/artifact/2508764/?q=Ottawa&page_num=1&item_num=97&media_irn=5513000,2508764
"
",https://www.historymuseum.ca/collections/artifact/2250987/?q=Ottawa&page_num=1&item_num=98&media_irn=5356005,2250987
"
",https://www.historymuseum.ca/collections/artifact/2223821/?q=Ottawa&page_num=1&item_num=99&media_irn=5330070,2223821
"
",https://www.historymuseum.ca/collections/artifact/2220735/?q=Ottawa&page_num=1&item_num=100&media_irn=5457546,2220735
"
",https://www.historymuseum.ca/collections/artifact/135321/?q=Ottawa&page_num=1&item_num=101&media_irn=5233761,135321
"
",https://www.historymuseum.ca/collections/artifact/2534689/?q=Ottawa&page_num=1&item_num=102&media_irn=5521535,2534689
"
",https://www.historymuseum.ca/collections/artifact/2466135/?q=Ottawa&page_num=1&item_num=103&media_irn=5489305,2466135
"
",https://www.historymuseum.ca/collections/artifact/2466134/?q=Ottawa&page_num=1&item_num=104&media_irn=5493249,2466134
"
",https://www.historymuseum.ca/collections/artifact/2466132/?q=Ottawa&page_num=1&item_num=105&media_irn=5493247,2466132
"
",https://www.historymuseum.ca/collections/artifact/2466131/?q=Ottawa&page_num=1&item_num=106&media_irn=5493245,2466131
"
",https://www.historymuseum.ca/collections/artifact/2466122/?q=Ottawa&page_num=1&item_num=107&media_irn=5489301,2466122
"
",https://www.historymuseum.ca/collections/artifact/2466121/?q=Ottawa&page_num=1&item_num=108&media_irn=5489297,2466121
"
",https://www.historymuseum.ca/collections/artifact/2465723/?q=Ottawa&page_num=1&item_num=109&media_irn=5489281,2465723
"
",https://www.historymuseum.ca/collections/artifact/2365098/?q=Ottawa&page_num=1&item_num=110&media_irn=391136,2365098
"
",https://www.historymuseum.ca/collections/artifact/159212/?q=Ottawa&page_num=1&item_num=111&media_irn=1098735,159212
"
",https://www.historymuseum.ca/collections/artifact/1316385/?q=Ottawa&page_num=1&item_num=112&media_irn=3001508,1316385
"
",https://www.historymuseum.ca/collections/artifact/1316384/?q=Ottawa&page_num=1&item_num=113&media_irn=3001506,1316384
"
",https://www.historymuseum.ca/collections/artifact/1376869/?q=Ottawa&page_num=1&item_num=114&media_irn=5220636,1376869
"
",https://www.historymuseum.ca/collections/artifact/1335362/?q=Ottawa&page_num=1&item_num=115&media_irn=3020758,1335362
